time_s,phase,airspeed_kts,groundSpeed_kts,altitude_ft,verticalSpeed_fpm,pitch_deg,roll_deg,yaw_deg,alpha_deg,stallAlpha_deg,stallSpeed_kts,stallWarning,stall,pitchRate_deg_s,rollRate_deg_s,yawRate_deg_s,ctrlElevator,ctrlAileron,ctrlRudder,ctrlThrottle,effElevator,effAileron,effRudder,motionEnabled,eng1_n1,eng2_n1,eng1_egt,eng2_egt,eng1_failed,eng2_failed,eng1_fire,eng2_fire,hydPressA_psi,hydPressB_psi,elecVolts,onGround
-0.02,climb_cruise,449.9,449.9,34999.9,-42,0.20,0.00,0.00,0.17,15.0,125.0,0,0,3.56,0.00,0.00,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1,84.4,84.4,762,762,0,0,0,0,3000,3000,114,0
0.00,climb_cruise,449.9,449.9,34999.9,-49,0.26,-0.00,359.97,0.31,15.0,125.0,0,0,3.20,-0.34,-3.22,-0.005,-0.000,-0.000,1.000,0.750,0.750,0.750,1,54.9,84.3,762,763,1,0,1,0,1216,1816,115,0
0.02,climb_cruise,449.9,449.9,34999.9,-56,0.33,-0.01,359.89,0.38,15.0,125.0,0,0,3.02,-1.04,-5.84,-0.010,0.001,0.000,1.000,0.750,0.750,0.750,1,54.8,84.2,762,763,1,0,1,0,1216,1816,114,0
0.04,climb_cruise,449.9,449.9,34999.8,-62,0.39,-0.04,359.75,0.45,15.0,125.0,0,0,3.07,-1.50,-7.89,-0.015,0.005,0.001,1.000,0.750,0.750,0.750,1,54.7,84.2,762,764,1,0,1,0,1216,1816,114,0
0.06,climb_cruise,449.9,449.9,34999.8,-68,0.45,-0.07,359.58,0.52,15.0,125.0,0,0,3.20,-1.54,-9.40,-0.019,0.011,0.001,1.000,0.750,0.750,0.750,1,54.6,84.1,762,764,1,0,1,0,1216,1816,116,0
0.08,climb_cruise,449.8,449.8,34999.8,-74,0.52,-0.10,359.39,0.59,15.0,125.0,0,0,3.33,-1.18,-10.40,-0.022,0.019,0.003,1.000,0.750,0.750,0.750,1,54.5,84.1,762,765,1,0,1,0,1216,1816,116,0
0.10,climb_cruise,449.8,449.8,34999.8,-79,0.58,-0.11,359.17,0.67,15.0,125.0,0,0,3.39,-0.52,-10.93,-0.024,0.028,0.005,1.000,0.750,0.750,0.750,1,54.3,84.0,762,765,1,0,1,0,1216,1816,115,0
0.12,climb_cruise,449.8,449.8,34999.7,-84,0.65,-0.12,358.95,0.74,15.0,125.0,0,0,3.33,0.35,-11.03,-0.025,0.036,0.007,1.000,0.750,0.750,0.750,1,54.2,84.0,762,766,1,0,1,0,1216,1816,115,0
0.14,climb_cruise,449.8,449.8,34999.7,-88,0.71,-0.10,358.73,0.81,15.0,125.0,0,0,3.14,1.34,-10.76,-0.025,0.045,0.010,1.000,0.750,0.750,0.750,1,54.1,84.0,762,766,1,0,1,0,1216,1816,114,0
0.16,climb_cruise,449.7,449.7,34999.7,-92,0.77,-0.07,358.52,0.88,15.0,125.0,0,0,2.81,2.37,-10.17,-0.024,0.053,0.013,1.000,0.750,0.750,0.750,1,54.0,84.0,762,767,1,0,1,0,1216,1816,114,0
0.18,climb_cruise,449.7,449.7,34999.6,-96,0.83,-0.01,358.33,0.94,15.0,125.0,0,0,2.36,3.39,-9.31,-0.023,0.060,0.016,1.000,0.750,0.750,0.750,1,53.9,84.0,762,767,1,0,1,0,1216,1816,116,0
0.20,climb_cruise,449.7,449.7,34999.6,-99,0.87,0.06,358.15,0.98,15.0,125.0,0,0,1.80,4.35,-8.25,-0.021,0.066,0.019,1.000,0.750,0.750,0.750,1,53.8,84.0,762,767,1,0,1,0,1216,1816,115,0
0.22,climb_cruise,449.7,449.7,34999.6,-102,0.90,0.16,357.99,1.02,15.0,125.0,0,0,1.18,5.20,-7.04,-0.020,0.070,0.022,1.000,0.750,0.750,0.750,1,53.7,84.0,762,768,1,0,1,0,1216,1816,116,0
0.24,climb_cruise,449.6,449.6,34999.5,-105,0.92,0.27,357.86,1.04,15.0,125.0,0,0,0.53,5.93,-5.74,-0.018,0.074,0.026,1.000,0.750,0.750,0.750,1,53.6,84.1,762,768,1,0,1,0,1216,1816,115,0
0.26,climb_cruise,449.6,449.6,34999.5,-107,0.93,0.39,357.76,1.05,15.0,125.0,0,0,-0.10,6.50,-4.40,-0.017,0.075,0.028,1.000,0.750,0.750,0.750,1,53.5,84.1,762,769,1,0,1,0,1216,1816,116,0
